date,002594.SZ,159820.SZ,159949.SZ,512690.SH,002340.SZ,600059.SH
2011-01-01,,,,,,
2011-01-02,,,,,,
2011-01-03,,,,,,
2011-01-04,,,,,3.488613755538944,12.182649651150044
2011-01-05,,,,,3.532870249540299,11.997395746244791
2011-01-06,,,,,3.5356021318860615,11.794498612300945
2011-01-07,,,,,3.429058720401317,11.618066321914993
2011-01-08,,,,,,
2011-01-09,,,,,,
2011-01-10,,,,,3.295196485458946,11.441634031529041
2011-01-11,,,,,3.332896461830471,11.529850176722018
2011-01-12,,,,,3.3050312619036917,11.485742104125528
2011-01-13,,,,,3.3083095207186064,11.759212154223755
2011-01-14,,,,,3.223621167999964,11.441634031529041
2011-01-15,,,,,,
2011-01-16,,,,,,
2011-01-17,,,,,3.0411314273030166,10.947623618448374
2011-01-18,,,,,3.021461874413525,11.062304607199241
2011-01-19,,,,,3.0706357566372535,11.203450439508003
2011-01-20,,,,,2.9466082981396275,10.744726484504527
2011-01-21,,,,,2.928577874657594,10.762369713543121
2011-01-22,,,,,,
2011-01-23,,,,,,
2011-01-24,,,,,2.7373461104542063,10.515364507002788
2011-01-25,,,,,2.7313359692935286,10.577115808637872
2011-01-26,,,,,2.760293922158613,10.568294194118575
2011-01-27,,,,,2.8187562043579346,10.70061841190804
2011-01-28,,,,,2.7974475220609856,10.744726484504527
2011-01-29,,,,,,
2011-01-30,,,,,,
2011-01-31,,,,,2.8089214279131887,10.929980389409778
2011-02-01,,,,,2.78979825149285,10.824121015178205
2011-02-02,,,,,,
2011-02-03,,,,,,
2011-02-04,,,,,,
2011-02-05,,,,,,
2011-02-06,,,,,,
2011-02-07,,,,,,
2011-02-08,,,,,,
2011-02-09,,,,,2.75100552218302,10.630045495753658
2011-02-10,,,,,2.8313228631484426,10.912337160371182
2011-02-11,,,,,2.9389590275714923,11.027018149122052
2011-02-12,,,,,,
2011-02-13,,,,,,
2011-02-14,,,,,3.1334690505897953,11.318131428258875
2011-02-15,,,,,3.120902391799287,11.203450439508003
2011-02-16,,,,,3.1329226741206426,11.476920489606231
2011-02-17,,,,,3.117077756515219,11.379882729893957
2011-02-18,,,,,3.065171991945728,11.52102856220272
2011-02-19,,,,,,
2011-02-20,,,,,,
2011-02-21,,,,,3.1023255918481007,11.529850176722018
2011-02-22,,,,,3.0924908154033552,11.07112622171854
2011-02-23,,,,,3.1143458741694565,11.097591065276433
2011-02-24,,,,,3.199034226888099,11.229915283065898
2011-02-25,,,,,3.1176241329843717,11.335774657297469
2011-02-26,,,,,,
2011-02-27,,,,,,
2011-02-28,,,,,3.108882109477931,11.335774657297469
2011-03-01,,,,,3.1252734035525074,11.362239500855363
2011-03-02,,,,,3.1624270034548796,11.159342366911517
2011-03-03,,,,,3.040585050833864,10.938802003929077
2011-03-04,,,,,3.066264744884033,11.009374920083458
2011-03-05,,,,,,
2011-03-06,,,,,,
2011-03-07,,,,,3.084295168366067,11.18580721046941
2011-03-08,,,,,3.1034183447864057,11.10641267979573
2011-03-09,,,,,3.119809638860982,11.388704344413256
2011-03-10,,,,,3.0804705330819995,11.6004230928764
2011-03-11,,,,,3.0389459214264063,11.379882729893957
2011-03-12,,,,,,
2011-03-13,,,,,,
2011-03-14,,,,,2.9826691451036953,11.265201741143088
2011-03-15,,,,,2.9225677334969165,10.868229087774694
2011-03-16,,,,,2.9679169804365766,11.035839763641349
2011-03-17,,,,,2.8772184865572554,10.727083255465931
2011-03-18,,,,,2.8941561571009844,10.744726484504527
2011-03-19,,,,,,
2011-03-20,,,,,,
2011-03-21,,,,,2.906722815891493,10.780012942581719
2011-03-22,,,,,2.94496916873217,10.974088462006266
2011-03-23,,,,,2.9657314745599668,11.15052075239222
2011-03-24,,,,,2.973380745128102,11.018196534602755
2011-03-25,,,,,3.0149053567836948,11.212272054027302
2011-03-26,,,,,,
2011-03-27,,,,,,
2011-03-28,,,,,2.999606815647424,11.044661378160647
2011-03-29,,,,,2.8947025335701366,10.806477786139611
2011-03-30,,,,,2.8526315454453917,10.832942629697502
2011-03-31,,,,,2.8684764630508153,10.727083255465931
2011-04-01,,,,,2.883775004187086,10.797656171620313
2011-04-02,,,,,,
2011-04-03,,,,,,
2011-04-04,,,,,,
2011-04-05,,,,,,
2011-04-06,,,,,2.9023518041382723,10.647688724792253
2011-04-07,,,,,2.8728474748040354,10.647688724792253
2011-04-08,,,,,2.9209286040894584,10.73590486998523
2011-04-09,,,,,,
2011-04-10,,,,,,
2011-04-11,,,,,2.8925170276935264,10.682975182869443
2011-04-12,,,,,2.8356938749016627,10.771191328062422
2011-04-13,,,,,2.8466214042847136,10.894693931332586
2011-04-14,,,,,2.850992416037934,11.009374920083458
2011-04-15,,,,,2.8526315454453917,11.000553305564159
2011-04-16,,,,,,
2011-04-17,,,,,,
2011-04-18,,,,,2.8526315454453917,10.806477786139611
2011-04-19,,,,,2.7428098751457317,10.682975182869443
2011-04-20,,,,,2.767396816257596,10.762369713543121
2011-04-21,,,,,2.7570156633436977,10.929980389409778
2011-04-22,,,,,2.767396816257596,11.000553305564159
2011-04-23,,,,,,
2011-04-24,,,,,,
2011-04-25,,,,,2.7220475693179353,11.053482992679944
2011-04-26,,,,,2.633534581315225,10.718261640946634
2011-04-27,,,,,2.6280708166236995,10.682975182869443
2011-04-28,,,,,2.56796940501692,10.32128898757824
2011-04-29,,,,,2.540104205090141,10.427148361809813
2011-04-30,,,,,,
2011-05-01,,,,,,
2011-05-02,,,,,,
2011-05-03,,,,,2.578896934399971,10.55065096507998
